Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
MB029,Man.,2020-03-23,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from out-of-province travel announced,"Government of Manitoba
"
MB034,Man.,2020-03-30,Context,Contextual information,Holiday,Spring break,"Manitoba school divisions and districts
"
MB038,Man.,2020-04-01,New,Distancing,Gatherings,Gatherings of more than 10 people prohibited,"Government of Manitoba 
"
MB039,Man.,2020-04-01,New,Closures/openings,Health services,Non-essential health services by regulated health professionals closed,"Government of Manitoba 
"
MB040,Man.,2020-04-01,New,Closures/openings,Non-essential services,Non-essential businesses closed,"Government of Manitoba 
"
MB041,Man.,2020-04-01,New,Health workforce,Safety guidelines,Requirement for staff to use personal protective equipment while providing direct care announced,"Chief Provincial Public Health Officer, Provincial Lead Health System Integration and Quality, Chief Nursing Officer Shared Health"
MB044,Man.,2020-04-01,New,Health workforce,Safety guidelines,Staff fitness screening prior to beginning shift announced ,"Chief Provincial Public Health Officer, Provincial Lead Health System Integration and Quality, Chief Nursing Officer Shared Health"
MB054,Man.,2020-03-18,New,Closures/openings,Health services,Non-essential audiology and speech–language pathology services suspended ,College of Audiologists and Speech–Language Pathologists of Manitoba 
MB055,Man.,2020-04-01,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for registered nurses and nurse practitioners announced,"College of Registered Nurses of Manitoba 
"
MB056,Man.,2020-04-03,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for midwives announced,"College of Midwives of Manitoba 
"
MB057,Man.,2020-04-06,New,Health workforce,Licence reinstatement/reclassification,"Modification to temporary registration criteria for physicians, surgeons, clinical assistants and physician assistants announced","College of Physicians and Surgeons of Manitoba 
"
MB058,Man.,2020-04-14,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for licensed practical nurses announced,"College of Licensed Practical Nurses of Manitoba 
"
MB065,Man.,2020-03-27,New,Health services,Telemedicine/virtual care,Online mental health therapy program launched,"Government of Manitoba, Morneau Sheppell 
"
MB077,Man.,2020-03-19,New,Health services,Visitors,Visitor access to hospitals (with exceptions) suspended,"Government of Manitoba
"
MB081,Man.,2020-04-24,Eased,Health services,Delayed/resumed medical procedures ,Surgical capacity of facilities increased,"Public health officials
"
MB082,Man.,2020-04-25,New,Health services,Telemedicine/virtual care,Virtual care options for primary care and psychotherapy announced ,"Government of Manitoba
"
MB085,Man.,2020-05-04,Eased,Closures/openings,Non-essential services,Select businesses reopened with social distancing and cleaning guidelines,"Public health officials
"
MB086,Man.,2020-05-01,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities issued,"Government of Manitoba, public health officials
"
MB090,Man.,2020-05-02,Eased,Closures/openings,Daycares,"Daycares reopened for all working parents, at reduced capacity","Government of Manitoba
"
MB093,Man. ,2020-04-29,New,Public information,Pandemic response plans,"Reopening plan released; all regions in ""Initial Pandemic Response"" phase ",Government of Manitoba
MB094,Man.,2020-05-04,Eased,Closures/openings,Health services,Regulated health professionals no longer limited to providing urgent and emergent care,"Government of Manitoba
"
MB100,Man.,2020-05-09,Eased,Closures/openings,Recreation,Fishing season opened,Government of Manitoba
MB102,Man.,2020-05-14,Eased,Closures/openings,Recreation,Provincial parks reopened,Government of Manitoba
MB106,Man.,2020-05-22,Eased,Distancing,Gatherings,Indoor gatherings of 25 or fewer and outdoor gatherings of 50 or fewer permitted,Government of Manitoba
MB107,Man.,2020-05-29,Eased,Health services,Visitors,Visitor restrictions at personal care homes relaxed to allow limited outdoor visits,"Government of Manitoba
"
MB108,Man.,2020-06-01,Eased,Public information,Phase and alert level changes,All regions entered Phase 2 of reopening plan,"Government of Manitoba
"
MB110,Man.,2020-06-01,Eased,Closures/openings,Daycares,Daycare and day camp capacity limit relaxed to 24,"Government of Manitoba
"
MB111,Man.,2020-06-01,Eased,Closures/openings,Recreation,"Campgrounds and resorts, gyms and fitness facilities, pools, spas and community centres reopened","Government of Manitoba
"
MB116,Man.,2020-06-01,Eased,Closures/openings,Non-essential services,"Outdoor religious services, personal service businesses, restaurants and bars reopened at reduced capacity","Government of Manitoba
"
MB119,Man.,2020-06-01,Eased,Closures/openings,Health services,Regulated health services capacity limits lifted,"Government of Manitoba
"
MB120,Man.,2020-05-06,New,Health workforce,Change in practice,Guidance for health care providers on precautions and provisions for obstetrical care published,Shared Health Manitoba 
MB121,Man.,2020-06-01,New,Health workforce,Safety guidelines,Guidance for safe reopening for dental hygienists published,"College of Dental Hygienists of Manitoba (CDHM) 
"
MB122,Man.,2020-05-04,New,Health workforce,Safety guidelines,Guidance for safe resumption of services for registered nurses and nurse practitioners published,College of Registered Nurses of Manitoba
MB123,Man.,2020-03-20,New,Closures/openings,Non-essential services,Assembling at restaurants or other commercial facilities where food is served prohibited,"Minister of Health, Seniors and Active Living"
MB127,Man.,2020-06-05,Eased,Health services,Visitors,Visitor restrictions at hospitals and health centres relaxed to allow visits from 1 designated support person,"Government of Manitoba
"
MB131,Man.,2020-06-21,Eased,Distancing,Gatherings,Indoor gatherings of 50 and outdoor gatherings of 100 permitted,"Government of Manitoba
"
MB132,Man.,2020-06-21,Eased,Travel,Self-isolation,Mandatory self-isolation for asymptomatic travellers from western Canada and northwestern Ont. lifted,"Public health officials 
"
MB133,Man.,2020-06-21,Eased,Closures/openings,Daycares,Daycare capacity limit lifted and day camp capacity relaxed to 50,"Government of Manitoba
"
MB134,Man.,2020-06-21,Eased,Closures/openings,Non-essential services,"Retail business, restaurant and bar capacity limits lifted","Government of Manitoba
"
MB135,Man.,2020-06-21,Eased,Closures/openings,Health services,Capacity limits lifted for all health professions,"Government of Manitoba
"
MB137,Man.,2020-06-01,New ,Health workforce,Safety guidelines,Guidance on use of personal protective equipment for physiotherapists,"College of Physiotherapists of Manitoba 
"
MB138,Man.,2020-06-01,New ,Health workforce,Safety guidelines,Guidance on safe reopening and delivery of dental care,"Manitoba Dental Assistant Association
"
MB139,Man.,2020-04-06,New ,Health workforce,Change in practice,Physician assistants permitted to work outside normal scope of practice,"College of Physicians and Surgeons of Manitoba
"
MB140,Man.,2020-02-10,New ,Case management,Self-isolation,Guidance on self-isolation published,"Government of Manitoba
"
MB141,Man.,2020-05-04,Eased,Closures/openings,Daycares,Seasonal day camps opened with capacity limit,"Public health officials
"
MB142,Man.,2020-05-04,Eased,Closures/openings,Recreation,"Museums, galleries, libraries and outdoor recreation (including campgrounds) reopened","Public health officials
"
MB143,Man.,2020-05-04,Eased,Public information,Phase and alert level changes,All regions entered Phase 1 of reopening plan,"Government of Manitoba
"
MB145,Man.,2020-06-26,Eased,Travel,Restrictions,Restrictions on travel to northern Manitoba and remote communities lifted,"Government of Manitoba
"
MB149,Man.,2020-06-21,Eased,Public information,Phase and alert level changes,All regions entered Phase 3 of reopening plan,"Government of Manitoba
"
MB150,Man.,2020-07-25,Eased,Public information,Phase and alert level changes,All regions entered Phase 4 of reopening plan,"Government of Manitoba
"
MB151,Man.,2020-07-25,Eased,Health services,Visitors,Visitor restrictions in personal care and long-term care relaxed to allow 2 identified support people for unlimited indoor visits,"Government of Manitoba
"
MB152,Man.,2020-06-21,Eased,Closures/openings,Non-essential services,Places of worship reopened: indoor and outdoor gatherings up to 30% of site's maximum capacity permitted,"Government of Manitoba
"
MB154,Man.,2020-07-25,Eased,Closures/openings,Recreation,"Stages and theatres permitted to operate at 30% capacity, up to a maximum 500 people","Government of Manitoba
"
MB156,Man.,2020-07-25,Eased,Closures/openings,Recreation,Casinos permitted to operate at 30% capacity,"Government of Manitoba
"
MB157,Man.,2020-07-30,New,Closures/openings,Education,Welcoming Our Students Back: Restoring Safe Schools released with aims for in-person K-8 and blended grades 9 to 12 learning,"Government of Manitoba
"
MB159,Man.,2020-07-14,New,Health workforce,Safety guidelines,Safety guidelines for clinical assessment issued,Shared Health Manitoba
MB160,Man.,2020-08-24,New,Public information,Phase and alert level changes,Alert level for Prairie Mountain Health region elevated to orange (restricted),"Government of Manitoba
"
MB161,Man.,2020-08-24,New,Public information,Masks,Mask use mandated for all indoor public places and public gatherings in Prairie Mountain Health region (yellow level),"Government of Manitoba
"
MB162,Man.,2020-08-24,New,Distancing,Gatherings,Indoor and outdoor gatherings of more than 10 people prohibited in Prairie Mountain Health region (yellow level),"Government of Manitoba
"
MB163,Man.,2020-08-28,New,Case management,Self-isolation,Mandatory 14-day self-isolation for confirmed cases or individuals exposed by close contact announced,"Government of Manitoba
"
MB164,Man.,2020-09-03,New,Travel,Restrictions,Restrictions on travel to northern Manitoba and remote communities reimplemented,"Government of Manitoba
"
MB166,Man.,2020-09-08,Eased,Closures/openings,Education,K-12 public schools opened for in-person classes,"Government of Manitoba
"
MB168,Man.,2020-08-13,New,Closures/openings,Education,"Restoring Safe Schools: August 13 — A Guide for Parents, Caregivers and Students released","Manitoba Education
"
MB169,Man.,2020-08-19,New,Closures/openings,Education,"Requirement for mask use issued for students in grades 4 to 12, staff and visitors when physical distancing cannot be maintained","Manitoba Education
"
MB170,Man.,2020-09-18,Eased,Public information,Phase and alert level changes,Alert level for Prairie Mountain Health region lowered to yellow (caution),"Government of Manitoba
"
MB171,Man.,2020-09-18,Eased,Public information,Masks,Mask use in Prairie Mountain Health region strongly recommended but not required (yellow level),"Government of Manitoba
"
MB172,Man.,2020-09-18,Eased,Distancing,Gatherings,Indoor gathering limit relaxed to 50 and outdoor gathering limit relaxed to 100 people in Prairie Mountain Health region (yellow level),"Government of Manitoba
"
MB173,Man.,2020-09-28,New,Public information,Phase and alert level changes,Alert level for Winnipeg Metropolitan Region elevated to orange (restricted),"Government of Manitoba
"
MB174,Man.,2020-09-28,New,Public information,Masks,Mask use mandated in all indoor public places in the Winnipeg Metropolitan Region (orange level),"Government of Manitoba
"
MB175,Man.,2020-09-28,New,Distancing,Gatherings,Indoor and outdoor gatherings of more than 10 people prohibited in the Winnipeg Metropolitan Region (orange level),"Government of Manitoba
"
MB179,Man.,2020-08-19,New,Public information,Phase and alert level changes,Alert levels for all regions started at yellow (caution) ,"Government of Manitoba
"
MB180,Man.,2020-08-24,New,Closures/openings,Education,Restoring Safe Schools: August 24 — School Settings Practice Guidance and Protocols updated,"Manitoba Education
"
MB181,Man.,2020-09-11,New,Health workforce,Safety guidelines,Guidance for audiologists and speech-language pathologists to safely practise published,College of Audiologists and Speech–Language Pathologists of Manitoba
MB182,Man.,2020-09-16,New,Health workforce,Supply management,Mental health supports for long-term care workers provided,"Shared Health Manitoba
"
MB183,Man.,2020-08-19,New,Public information,Pandemic response plans,"#RestartMB Pandemic Response System launched with 4 levels: red–critical, orange–restricted, yellow–caution, green–limited risk","Government of Manitoba
"
MB184,Man.,2020-08-22,New,Distancing,Gatherings,Recommendation for residents to reduce close contacts outside their household issued (Winnipeg) ,"Chief Provincial Public Health Officer
"
MB185,Man.,2020-08-26,New,Distancing,Gatherings,Recommendation for all Manitobans to reduce close contacts outside their household issued,"Government of Manitoba
"
MB186,Man.,2020-10-01,New,Case management,Contact tracing,COVID Alert app launched in province,"Government of Manitoba
"
MB187,Man.,2020-10-07,New,Public information,Masks,Mandatory use of face masks in doctors’ offices and community service providers affiliated with Manitoba’s health regions announced,"Government of Manitoba
"
MB188,Man.,2020-10-04,New,Public information,Phase and alert level changes,Alert level for Little Grand Rapids First Nation elevated to red (critical),"Government of Manitoba
"
MB189,Man.,2020-10-04,New,Distancing,Gatherings,Public gatherings prohibited and residents restricted to their homes except for essential purposes (Little Grand Rapids First Nation) ,"Chief and Council of Little Grand Rapids First Nation
"
MB190,Man.,2020-10-07,New,Closures/openings,Non-essential services,"For licensed premises, liquor sales to end at 10 p.m. and customers to leave by 11 p.m. (Winnipeg Metropolitan Region)","Government of Manitoba
"
MB191,Man.,2020-10-13,Eased,Travel,Restrictions,Travel restrictions to northern Manitoba eased for compassionate or care-giving reasons provided travellers do not show COVID-19 symptoms,"Government of Manitoba
"
MB192,Man.,2020-10-13,Eased,Travel,Self-isolation,Self-isolation for people travelling to a remote community in northern Manitoba for compassionate or care-giving reasons permitted,"Government of Manitoba
"
MB194,Man.,2020-10-19,New,Closures/openings,Non-essential services,"Casinos, bingo halls, and licensed entertainment facilities (except takeout/delivery) closed (Winnipeg Metropolitan Region)","Government of Manitoba
"
MB195,Man.,2020-10-19,New,Distancing,Gatherings,Indoor and outdoor gatherings of more than 5 people prohibited (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB196,Man.,2020-10-19,New,Closures/openings,Recreation,After-school activities and sporting events limited to 25% capacity (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB197,Man.,2020-10-19,New,Closures/openings,Recreation,"Museums, galleries and libraries limited to 50% capacity (Winnipeg Metropolitan Region)","Government of Manitoba
"
MB198,Man.,2020-10-19,New,Case management,Contact tracing,Recreational and non-essential businesses required to record patrons' contact information (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB199,Man.,2020-10-19,New,Closures/openings,Non-essential services,"Restaurants, retail, licensed and personal service businesses limited to 50% capacity (Winnipeg Metropolitan Region)","Government of Manitoba
"
MB201,Man.,2020-10-26,New,Closures/openings,Non-essential services,"Casinos, bingo halls and licensed entertainment facilities (except takeout/delivery) closed (Northern Health Region, Churchill)","Government of Manitoba
"
MB202,Man.,2020-10-26,New,Distancing,Gatherings,"Indoor and outdoor gatherings of more than 5 people prohibited (Northern Health Region, Churchill)","Government of Manitoba
"
MB204,Man.,2020-10-26,New,Closures/openings,Recreation,"Museums, galleries and libraries limited to 50% capacity (Northern Health Region, Churchill)","Government of Manitoba
"
MB205,Man.,2020-10-26,New,Case management,Contact tracing,"Recreational and non-essential businesses required to record patrons' contact information (Northern Health Region, Churchill)","Government of Manitoba
"
MB206,Man.,2020-10-26,New,Closures/openings,Non-essential services,"Restaurants, retail, licensed and personal service businesses limited to 50% capacity (Northern Health Region, Churchill)","Government of Manitoba
"
MB207,Man.,2020-10-26,New,Closures/openings,Education,"Additional safety measures for social distancing announced (Winnipeg Metropolitan Region, Northern Health Region)","Government of Manitoba
"
MB208,Man.,2020-10-26,New,Public information,Phase and alert level changes,Alert level for Northern Health Region and Churchill elevated to orange (restricted),"Government of Manitoba
"
MB209,Man.,2020-10-26,New,Distancing,Gatherings,Recommendation to avoid socializing outside the household issued ,"Chief Provincial Public Health Officer
"
MB210,Man.,2020-10-28,New,Public information,Phase and alert level changes,Alert level for Cross Lake First Nation elevated to red (critical),"Government of Manitoba
"
MB211,Man.,2020-10-28,New,Distancing,Gatherings,Public gatherings prohibited and residents restricted to their homes except for essential purposes (Cross Lake First Nation) ,"Chief and Council of Cross Lake First Nation
"
MB212,Man.,2020-11-02,New,Public information,Phase and alert level changes,Alert level for Winnipeg Metropolitan Region elevated to red (critical),"Government of Manitoba
"
MB213,Man.,2020-11-02,New,Public information,Phase and alert level changes,"Alert level for Southern Health–Santé Sud, Prairie Mountain Health and Interlake-Eastern health regions elevated to orange (restricted)","Government of Manitoba
"
MB214,Man.,2020-11-05,New,Public information,Phase and alert level changes,Alert level for Peguis First Nation elevated to red (critical),"Government of Manitoba
"
MB215,Man.,2020-11-05,New,Distancing,Gatherings,Public gatherings prohibited and residents may only leave home for essential purposes (Peguis First Nation),"Chief and Council of Peguis First Nation
"
MB216,Man.,2020-11-12,New,Public information,Phase and alert level changes,Alert level for all of Manitoba elevated to red (critical),"Government of Manitoba
"
MB217,Man.,2020-11-12,New,Distancing,Gatherings,Social contacts limited to the household only and social gatherings prohibited; religious/cultural gatherings closed,"Government of Manitoba
"
MB218,Man.,2020-11-12,New,Travel,Restrictions,Travel to and from northern Manitoba restricted,"Government of Manitoba
"
MB219,Man.,2020-11-12,New,Closures/openings,Non-essential services,"Non-critical retail businesses permitted to provide e-services, curbside pickup and delivery services; personal service businesses closed","Government of Manitoba
"
MB220,Man.,2020-11-12,New,Closures/openings,Recreation,"Museums, galleries, libraries and fitness and recreational facilities closed","Government of Manitoba
"
MB221,Man.,2020-11-12,New,Closures/openings,Non-essential services,Restaurants (except takeout/delivery) closed,"Government of Manitoba
"
MB222,Man.,2020-11-12,New,Closures/openings,Non-essential services,"Critical retail businesses (e.g., grocery stores and pharmacies) to remain open at 25% capacity","Government of Manitoba
"
MB225,Man.,2020-11-16,New,Distancing,Other,Recommendation to only leave home for essential purposes issued ,"Chief Provincial Public Health Officer
"
MB227,Man.,2020-10-14,New,Health workforce,Change in practice,"Authorization for medical laboratory technologists, occupational therapists, pharmacists, physiotherapists to perform nasopharyngeal swabs","Shared Health Manitoba
"
MB228,Man.,2020-10-04,New,Public information,Masks,Mandatory use of face masks outside the home announced (Little Grand Rapids First Nation),"Chief and Council of Little Grand Rapids First Nation
"
MB229,Man.,2020-10-04,New,Closures/openings,Non-essential services,Non-essential businesses closed (Little Grand Rapids First Nation),"Chief and Council of Little Grand Rapids First Nation
"
MB230,Man.,2020-10-26,New,Public information,Masks,"Mandatory use of face masks in all indoor public spaces announced (Northern Health Region, Churchill)","Government of Manitoba
"
MB231,Man.,2020-10-28,New,Public information,Masks,Mandatory use of face masks outside the home announced (Cross Lake First Nation),"Chief and Council of Cross Lake First Nation
"
MB232,Man.,2020-10-28,New,Closures/openings,Non-essential services,Non-essential businesses closed (Cross Lake First Nation),"Chief and Council of Cross Lake First Nation
"
MB233,Man.,2020-11-02,New,Distancing,Gatherings,"Faith-based gatherings reduced to 15% or 100 people, whichever is fewer (Winnipeg Metropolitan Region)","Government of Manitoba
"
MB234,Man.,2020-11-02,New,Health services,Visitors,Visitor access to hospitals suspended (with exceptions) ,"Government of Manitoba
"
MB235,Man.,2020-11-02,New,Closures/openings,Recreation,Sports and recreational programming suspended; theatres closed and fitness centres limited to 25% capacity (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB236,Man.,2020-11-02,New,Closures/openings,Non-essential services,Restaurants/bars (except takeout/delivery) closed (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB237,Man.,2020-11-02,New,Closures/openings,Non-essential services,Most retail limited to 25% capacity (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB238,Man.,2020-11-02,New,Health services,Delayed/resumed medical procedures,Non-urgent and elective diagnostics and surgeries postponed (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB239,Man.,2020-11-02,New,Closures/openings,Non-essential services,"Restaurants/bars to stop liquor sales at 10 p.m., close by 11 p.m. and limit groups to 5 (3 regions) ","Government of Manitoba
"
MB240,Man.,2020-11-02,New,Closures/openings,Recreation,"Museums, galleries and libraries limited to 50% capacity (Southern Health, Prairie Mountain Health, Interlake-Eastern health regions)","Government of Manitoba
"
MB241,Man.,2020-11-02,New,Closures/openings,Education,Blended learning for grades 9 to 12 required; voluntary for K–8 (3 regions),"Government of Manitoba
"
MB242,Man.,2020-11-02,New,Case management,Contact tracing,Recreational and non-essential businesses required to record patrons' contact information (3 regions),"Government of Manitoba
"
MB243,Man.,2020-11-02,New,Closures/openings,Non-essential services,Restaurants and retail and personal service businesses limited to 50% capacity (3 regions),"Government of Manitoba
"
MB244,Man.,2020-11-02,New,Distancing,Gatherings,"Indoor/outdoor gatherings of more than 5 prohibited (Southern Health–Santé Sud, Prairie Mountain Health and Interlake-Eastern health regions)","Government of Manitoba
"
MB245,Man.,2020-11-02,New,Public information,Masks,"Mandatory use of face masks in all indoor public spaces announced (Southern Health–Santé Sud, Prairie Mountain Health, Interlake-Eastern)","Government of Manitoba
"
MB246,Man.,2020-11-05,New,Public information,Masks,Mandatory use of face masks outside the home announced (Peguis First Nation),"Chief and Council of Peguis First Nation
"
MB247,Man.,2020-11-05,New,Closures/openings,Non-essential services,Non-essential businesses closed (Peguis First Nation),"Chief and Council of Peguis First Nation
"
MB248,Man.,2020-10-19,New,Public information,Phase and alert level changes,New targeted measures for the orange (restricted) level announced (Winnipeg Metropolitan Region),"Government of Manitoba
"
MB249,Man.,2020-10-04,New,Travel,Restrictions,Non-essential travel to Little Grand Rapids prohibited,"Chief and Council of Little Grand Rapids First Nation
"
MB250,Man.,2020-10-28,New,Travel,Restrictions,Non-essential travel to Cross Lake First Nation prohibited,"Chief and Council of Cross Lake First Nation
"
NB001,N.B.,2020-03-02,Context,Contextual information,Holiday,Spring break,"New Brunswick Education and Early Childhood Development
"
NB002,N.B.,2020-03-05,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Government of New Brunswick, Chief Medical Officer of Health"
NB003,N.B.,2020-03-11,New,Health services,Visitors,Visitor access to long-term care restricted,"Government of New Brunswick, Chief Medical Officer of Health"
NB004,N.B.,2020-03-12,New,Distancing,Gatherings,Gatherings of more than 150 people prohibited,"Government of New Brunswick, Chief Medical Officer of Health"
NB005,N.B.,2020-03-12,New,Health services,Visitors,Visitor access to acute care suspended (with exceptions) ,"Horizon Health Network
"
NB006,N.B.,2020-03-13,New,Health services,Visitors,Visitor access to hospitals restricted,"Vitalité Health Network 
"
NB007,N.B.,2020-03-15,New,Health services,Visitors,Visitor access to hospitals suspended (with exceptions) ,"Vitalité Health Network 
"
NB008,N.B.,2020-03-16,New,Closures/openings,Education,Schools closed,"Department of Education and Early Childhood Development
"
NB010,N.B.,2020-03-16,New,Closures/openings,Daycares,Daycares closed (with exceptions),"Government of New Brunswick, Chief Medical Officer of Health"
NB011,N.B.,2020-03-16,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Government of New Brunswick, Chief Medical Officer of Health"
NB012,N.B.,2020-03-16,New,Health services,Delayed/resumed medical procedures ,Non-urgent procedures postponed,"Horizon Health Network, Vitalité Health Network
"
NB015,N.B.,2020-03-19,New,Closures/openings,Health services,Non-essential services and non-regulated health professions closed,"Government of New Brunswick, Office of the Chief Medical Officer of Health "
NB016,N.B.,2020-03-19,New,State of emergency,State of emergency,Provincial state of emergency declared,"Government of New Brunswick
"
NB017,N.B.,2020-03-19,New,Closures/openings,Education,First post-secondary school closure in province,"Office of the Premier, Government of New Brunswick"
NB018,N.B.,2020-03-19,New,Distancing,Gatherings,Recommendation for businesses to avoid gatherings of more than 10 people issued,"Government of New Brunswick, Chief Medical Officer of Health"
NB019,N.B.,2020-03-19,New,Closures/openings,Non-essential services,Restaurants (except takeout/delivery) closed,"Office of the Premier, Government of New Brunswick
"
NB020,N.B.,2020-03-17,New,Closures/openings,Recreation,Public and private recreational and entertainment facilities closed,"Office of the Premier, Government of New Brunswick"
NB021,N.B.,2020-03-19,New,Closures/openings,Recreation,Provincial parks closed,"Department of Tourism, Heritage and Culture
"
NB025,N.B.,2020-03-25,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from out-of-province travel announced,"Office of the Premier
"
NB030,N.B.,2020-03-31,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for pharmacy professionals announced,"New Brunswick College of Pharmacists 
"
NB039,N.B.,2020-04-16,Eased,Closures/openings,Non-essential services,Gardening and agricultural retailers reopened,"Office of the Premier, Government of New Brunswick, Chief Medical Officer of Health"
NB040,N.B.,2020-03-16,New,Closures/openings,Health services,Non-essential dental services suspended ,"New Brunswick Dental Society 
"
NB046,N.B.,2020-04-29,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for registered nurses and nurse practitioners announced,"Nurses Association of New Brunswick 
"
NB052,N.B.,2020-04-26,New,Public information,Pandemic response plans,"Recovery plan released with 4 stages: red, orange, yellow, green; with some measures effective immediately",Chief Medical Officer of Health
NB053,N.B.,2020-04-24,New,Public information,Masks,Recommendation for the use of face masks issued,"Office of the Premier, Chief Medical Officer of Health"
NB055,N.B.,2020-04-24,Eased,Distancing,Gatherings,Limitations on social gatherings relaxed to allow gatherings of 2 households,"Office of the Premier, Chief Medical Officer of Health
"
NB056,N.B.,2020-04-24,Eased,Closures/openings,Education,Post-secondary students allowed to access campus to fulfill course requirements,"Office of the Premier, Chief Medical Officer of Health
"
NB057,N.B.,2020-04-24,Eased,Closures/openings,Recreation,Outdoor spaces and select recreational activities reopened,"Office of the Premier, Chief Medical Officer of Health
"
NB059,N.B.,2020-04-28,New,Travel,Restrictions,Foreign workers restricted from entering province,"Office of the Premier, Chief Medical Officer of Health
"
NB063,N.B.,2020-04-29,New,Health services,Telemedicine/virtual care,Permanent telehealth standard for chiropractors implemented,"New Brunswick Chiropractors Association
"
NB066,N.B.,2020-04-20,New,Health services,Telemedicine/virtual care,Virtual care tool for dietitians announced,New Brunswick Association of Dietitians 
NB069,N.B.,2020-03-18,New,Health workforce,Change in practice,Recommendation for pharmacists to consider options to reduce non-essential physician visits issued,"Government of New Brunswick, Office of the Chief Medical Officer of Health "
NB070,N.B.,2020-04-14,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities issued,"Government of New Brunswick, Office of the Chief Medical Officer of Health "
NB071,N.B.,2020-03-25,New,Travel,Restrictions,Travel restrictions on non-essential entry announced,"Office of the Premier
"
NB072,N.B.,2020-04-02,New,Distancing,Gatherings,Gatherings of any size prohibited,Government of New Brunswick
NB073,N.B.,2020-05-08,Eased,Distancing,Gatherings,Limitations on social gatherings relaxed to allow gatherings of 10 or fewer,Office of the Premier
NB074,N.B.,2020-05-08,Eased,Health services,Delayed/resumed medical procedures ,Elective surgeries resumed,Office of the Premier
NB075,N.B.,2020-05-08,Eased,Closures/openings,Health services,Regulated health services resumed,Office of the Premier
NB076,N.B.,2020-05-08,Eased,Closures/openings,Education,Post-secondary schools reopened with restrictions,Office of the Premier
NB077,N.B.,2020-05-08,Eased,Closures/openings,Daycares,Daycares reopened (with exceptions),Office of the Premier
NB079,N.B.,2020-05-08,Eased,Closures/openings,Recreation,Cultural services and outdoor recreational businesses reopened,Office of the Premier
NB080,N.B.,2020-05-11,Eased,Health services,Visitors,"Visitor restrictions at hospitals, long-term care homes and hospices relaxed","Office of the Premier, Chief Medical Officer of Health"
NB081,N.B.,2020-05-12,Eased,Closures/openings,Recreation,Provincial parks reopened,Office of the Premier
NB082,N.B.,2020-05-12,Eased,Closures/openings,Non-essential services,Farmers' markets reopened,"Department of Health, Department of Agriculture, Aquaculture and Fisheries"
NB085,N.B.,2020-05-22,Eased,Distancing,Gatherings,"2-household bubbles expanded to include close family and friends, and indoor gatherings relaxed to 10 people",Department of Health
NB086,N.B.,2020-05-22,Eased,Closures/openings,Health services,Non-regulated health services resumed ,Department of Health
NB087,N.B.,2020-05-22,Eased,Closures/openings,Non-essential services,Personal service establishments reopened,Department of Health
NB088,N.B.,2020-06-05,Eased,Distancing,Gatherings,Limitations relaxed to allow outdoor gatherings and indoor ceremonies of 50 or fewer,"Department of Health
"
NB089,N.B.,2020-06-05,Eased,Closures/openings,Recreation,"Playgrounds, pools and water parks, sports and fitness facilities and indoor recreational facilities reopened","Department of Health
"
NB090,N.B.,2020-06-05,Eased,Travel,Restrictions,Travel restrictions on temporary foreign workers and students lifted,"Department of Health
"
NB094,N.B.,2020-05-13,New,Health workforce,Safety guidelines,Guidance for safe reopening for dietitians published,New Brunswick Association of Dietitians
NB095,N.B.,2020-05-08,Eased,Closures/openings,Non-essential services,Select non-essential businesses reopened,Office of the Premier
NB100,N.B.,2020-06-05,Eased,Health services,Delayed/resumed medical procedures ,Additional non-urgent procedures and non-emergency surgeries resumed,"Premier, Chief Medical Officer of Health
"
NB101,N.B.,2020-06-05,Eased,Health services,Visitors,Visitor restrictions at long-term care homes relaxed to allow outdoor visits with restrictions (Zone 5 excluded),"Premier, Chief Medical Officer of Health
"
NB102,N.B.,2020-06-19,Eased,Health services,Visitors,Visitor restrictions at long-term care homes relaxed to allow indoor visits with restrictions (Zone 5 excluded),"Premier, Chief Medical Officer of Health
"
NB103,N.B.,2020-06-19,Eased,Closures/openings,Daycares,Day and overnight camps opened (except in Zone 5),"Premier, Chief Medical Officer of Health
"
